"","index","Unnamed: 0","name","city","state"
"461",460,460,"Fremont Brewing Company","Seattle"," WA"
"462",461,461,"Armstrong Brewing Company","South San Francisco"," CA"
"463",462,462,"AC Golden Brewing Company","Golden"," CO"
"464",463,463,"Big Bend Brewing Company","Alpine"," TX"
"465",464,464,"Good Life Brewing Company","Bend"," OR"
"466",465,465,"Engine 15 Brewing","Jacksonville Beach"," FL"
"467",466,466,"Green Room Brewing","Jacksonville"," FL"
"468",467,467,"Brindle Dog Brewing Company","Tampa Bay"," FL"
"469",468,468,"Peace Tree Brewing Company","Knoxville"," IA"
"470",469,469,"Terrapin Brewing Company","Athens"," GA"
"471",470,470,"Pete's Brewing Company","San Antonio"," TX"
"472",471,471,"Okoboji Brewing Company","Spirit Lake"," IA"
"473",472,472,"Crystal Springs Brewing Company","Boulder"," CO"
"474",473,473,"Engine House 9","Tacoma"," WA"
"475",474,474,"Tonka Beer Company","Minnetonka"," MN"
"476",475,475,"Red Hare Brewing Company","Marietta"," GA"
"477",476,476,"Hangar 24 Craft Brewery","Redlands"," CA"
"478",477,477,"Big Elm Brewing","Sheffield"," MA"
"479",478,478,"Good People Brewing Company","Birmingham"," AL"
"480",479,479,"Heavy Seas Beer","Halethorpe"," MD"
"481",480,480,"Telluride Brewing Company","Telluride"," CO"
"482",481,481,"7 Seas Brewing Company","Gig Harbor"," WA"
"483",482,482,"Confluence Brewing Company","Des Moines"," IA"
"484",483,483,"Bale Breaker Brewing Company","Yakima"," WA"
"485",484,484,"The Manhattan Brewing Company","New York"," NY"
"486",485,485,"MacTarnahans Brewing Company","Portland"," OR"
"487",486,486,"Stillmank Beer Company","Green Bay"," WI"
"488",487,487,"Redhook Brewery","Woodinville"," WA"
"489",488,488,"Dock Street Brewery","Philadelphia"," PA"
"490",489,489,"Blue Point Brewing Company","Patchogue"," NY"
"491",490,490,"Tampa Bay Brewing Company","Tampa"," FL"
"492",491,491,"Devil's Canyon Brewery","Belmont"," CA"
"493",492,492,"Stone Coast Brewing Company","Portland"," ME"
"494",493,493,"Broken Tooth Brewing Company","Anchorage"," AK"
"495",494,494,"Seven Brides Brewery","Silverton"," OR"
"496",495,495,"Newburyport Brewing Company","Newburyport"," MA"
"497",496,496,"Dry Dock Brewing Company","Aurora"," CO"
"498",497,497,"Cans Bar and Canteen","Charlotte"," NC"
"499",498,498,"Sprecher Brewing Company","Glendale"," WI"
"500",499,499,"Wildwood Brewing Company","Stevensville"," MT"
"501",500,500,"High Noon Saloon And Brewery","Leavenworth"," KS"
"502",501,501,"Woodchuck Hard Cider","Middlebury"," VT"
"503",502,502,"Sea Dog Brewing Company","Portland"," ME"
"504",503,503,"Oskar Blues Brewery","Lyons"," CO"
"505",504,504,"Carolina Beer & Beverage","Mooresville"," NC"
"506",505,505,"Krebs Brewing Company (Pete's Pl...","Krebs"," OK"
"507",506,506,"Warbird Brewing Company","Fort Wayne"," IN"
"508",507,507,"Mudshark Brewing Company","Lake Havasu City"," AZ"
"509",508,508,"Spilker Ales","Cortland"," NE"
"510",509,509,"Wingman Brewers","Tacoma"," WA"
"511",510,510,"Kettle House Brewing Company","Missoula"," MT"
"512",511,511,"Sherwood Forest Brewers","Marlborough"," MA"
"513",512,512,"Cottrell Brewing","Pawcatuck"," CT"
"514",513,513,"Arctic Craft Brewery","Colorado Springs"," CO"
"515",514,514,"Monkey Paw Pub & Brewery","San Diego"," CA"
"516",515,515,"Crabtree Brewing Company","Greeley"," CO"
"517",516,516,"Emerald City Beer Company","Seattle"," WA"
"518",517,517,"Butcher's Brewing","Carlsbad"," CA"
"519",518,518,"New South Brewing Company","Myrtle Beach"," SC"
"520",519,519,"Big River Brewing Company","Chattanooga"," TN"
"521",520,520,"Twisted Pine Brewing Company","Boulder"," CO"
"522",521,521,"Flying Dog Brewery","Frederick"," MD"
"523",522,522,"Uncommon Brewers","Santa Cruz"," CA"
"524",523,523,"Aspen Brewing Company","Aspen"," CO"
"525",524,524,"Triangle Brewing Company","Durham"," NC"
"526",525,525,"Bomb Beer Company","New York"," NY"
"527",526,526,"Churchkey Can Company","Seattle"," WA"
"528",527,527,"Intuition Ale Works","Jacksonville"," FL"
"529",528,528,"Asheville Brewing Company","Asheville"," NC"
"530",529,529,"Northwoods Brewpub","Eau Claire"," WI"
"531",530,530,"Buckbean Brewing Company","Reno"," NV"
"532",531,531,"Dolores River Brewery","Dolores"," CO"
"533",532,532,"Flat Rock Brewing Company","Smithton"," PA"
"534",533,533,"Abita Brewing Company","Abita Springs"," LA"
"535",534,534,"Mammoth Brewing Company","Mammoth Lakes"," CA"
"536",535,535,"Harvest Moon Brewing Company","Belt"," MT"
"537",536,536,"Grand Canyon Brewing Company","Williams"," AZ"
"538",537,537,"Lewis and Clark Brewing Company","Helena"," MT"
"539",538,538,"Dundee Brewing Company","Rochester"," NY"
"540",539,539,"Twin Lakes Brewing Company","Greenville"," DE"
"541",540,540,"Mother Earth Brewing Company","Kinston"," NC"
"542",541,541,"Arcadia Brewing Company","Battle Creek"," MI"
"543",542,542,"Angry Minnow Brewing Company","Hayward"," WI"
"544",543,543,"Great Northern Brewing Company","Whitefish"," MT"
"545",544,544,"Pyramid Breweries","Seattle"," WA"
"546",545,545,"Lancaster Brewing Company","Lancaster"," PA"
"547",546,546,"Upstate Brewing Company","Elmira"," NY"
"548",547,547,"Moat Mountain Smoke House & Brew...","North Conway"," NH"
"549",548,548,"Prescott Brewing Company","Prescott"," AZ"
"550",549,549,"Mogollon Brewing Company","Flagstaff"," AZ"
"551",550,550,"Wind River Brewing Company","Pinedale"," WY"
"552",551,551,"Silverton Brewery","Silverton"," CO"
"553",552,552,"Mickey Finn's Brewery","Libertyville"," IL"
"554",553,553,"Covington Brewhouse","Covington"," LA"
"555",554,554,"Dave's Brewfarm","Wilson"," WI"
"556",555,555,"Ukiah Brewing Company","Ukiah"," CA"
"557",556,556,"Butternuts Beer and Ale","Garrattsville"," NY"
"558",557,557,"Sleeping Lady Brewing Company","Anchorage"," AK"
